"id","name","category","base_buy_price","base_sell_price","wash_cost","wash_condition_gain","repair_cost","repair_condition_gain","max_condition","set_id","description"
"lamp_01","Retro lampe","Belysning","150","400","50","15","100","20","100","stue_sett_01","1950-talls bordlampe"
"chair_01","Teakstol","Møbler","200","650","80","10","200","25","100","stue_sett_01","Dansk design 60-tall"
"book_lot","Boks med bøker","Bøker","50","120","30","10","","","80","","Diverse bøker"
"sofa_01","Vintage sofa","Møbler","500","1800","150","15","400","30","95","stue_sett_01","3-seters retro sofa"
"📋 Tilstandssystem: 0–20=Ødelagt, 21–40=Slitt, 41–60=Brukt, 61–80=God, 81–100=Utmerket","","","","","","","","","","",""
"set_id: varer med samme set_id teller som sett (bonuspris). Tom = ikke del av sett.","","","","","","","","","","",""
"c64_computer","Commodore 64","Elektronikk/Retro","500","2800","120","15","600","25","100","c64_komplett","Commodore 64-datamaskin fra 1982"
"c64_datasette","Commodore Datasette","Elektronikk/Retro","200","900","80","10","300","20","100","c64_komplett","Kassettspiller til C64"
"c64_joystick","Competition Pro Stick","Elektronikk/Retro","100","450","40","20","80","15","100","c64_komplett","Klassisk joystick fra 80-tallet"
"c64_box","C64 Originalboks","Elektronikk/Retro","50","1200","30","10","","","100","c64_komplett","Original eske med dokumentasjon"
"table_01","Spisebord (eik)","Møbler","300","950","100","10","250","20","100","","Solid eikebord, 6 plasser"
"wardrobe_01","Skap (mahogni)","Møbler","400","1200","120","12","350","25","100","","Dobbelt klesskap, originalnøkkel"
"breakout_cart","Breakout (C64 kassett)","Elektronikk/Retro","80","380","20","5","","","100","c64_breakout","Atari Breakout-klon til Commodore 64, 1983"
